name,comp_name,long_desc,,,,,,,,,,,
privacy and security,"Diamond Fortress Technologies, Inc.","Diamond Fortress Technologies, Inc. (DFT) is a biometric security software provider whose flagship authentication solution, ONYX, uses a device's camera to capture an image of a finger, then by its patent-pending processes, identify and match a user's unique fingerprint. Onyx delivers affordable and easily adoptable biometric security to everyone, without requiring additional hardware or the need to store and retrieve multiple passwords.

Other DFT solutions that incorporate Onyx include ICE UNLOCK™, an android app that allows users to lock and unlock their device with their fingerprint.

DFT's mission is to make Onyx the de facto means of proving online identity for all mobile-based business to business, business to consumer, or personal interactions. Whether securing your device, eliminating passwords, or authenticating online transactions. Onyx is the future of mobile biometrics.

Diamond Fortress Technologies is headquartered in Birmingham, Alabama, with partners worldwide.",,,,,,,,,,,
sports,Sierra Lifestyle,"They offer the latest sporting goods, sportswear, footwear, fashion for ladies, western wear, yoga & fitness wear and home décor.

Their stores maintain the character, tradition and expertise developed over decades by local owners as opposed to chain stores.

Investment Opportunity

•        Two year convertible notes with 7% annual interest paid quarterly. $10,000 minimum investment.

•        They secure your investment with gift cards for your 'peace of mind’ 

•        Option to convert to Sierra Lifestyle potential public shares at 20% discount 
( For example $125,000 of shares on a $100,000  investment) or receive return of principal at the end of the  2 year term

•        Near term (1-2 years) possibility of a 100%-200% return on your investment when you convert to their potential public shares based on industry benchmark

•        Longer term (3-5 years) possibility of a 400%-1,000% return on your investment when you convert and hold their potential public shares based on industry benchmark",,,,,,,,,,,
sports,Lapio,"As of Jan 1st 2015, Lapio has served more than 500.000 athletes and received more than 2.5M chip reading for more than 2000 events during it 2.5 years lifetime.
 
We seamlessly integrate with Google Analytics, Your race Facebook page, participants facebook timelines, twitter, SMS texts and finish line video. Race directors can open for photo sharing and have participants and spectators help the race go viral by adding and tagging photos from smartphones or pulled from instagram based on photo location.

Timing with Lapio is literally a 3 click process and can be managed by anybody in your organization. Lapio has intelligent features that will secure data synchronization and take all the pain out of race timing.

Lapios mobile experience empowers race directors to provide athletes and spectators with great online experienced and to retain and attract more athletes to their events.",,,,,,,,,,,
privacy and security,SNUPI Technologies,"SNUPI Technologies is a sensor and service company that provides devices for home safety, security, and loss prevention. SNUPI technology is a wireless sensing platform that is used by leveraging the existing electrical wiring as a whole home antenna. The company offers a product named WallyHome, a home sensing solution that detects and alerts the home owner of water leaks along with important changes in temperature and humidity. The company was founded in 2012 and is headquartered in Seattle, Washington.",,,,,,,,,,,
sports,Bypass Mobile,"Bypass simplifies commerce for sports and entertainment properties. Our solutions are guided by the core principle that improving payments is best achieved through software, not hardware. We pair the latest tablet technology with software tailored to the challenges of high volume, high complexity operations.

Bypass implements fixed and mobile solutions supporting concessions, merchandisers, suites, club seats, portables, desert carts, and hawkers. Founded in 2010, the company is upgrading payment solutions for the NFL, NBA, NHL, MLS, NCAA, MILB and regional music venues. Please call us, but don’t call us a POS company.",,,,,,,,,,,
privacy and security,NotaryCam,"NotaryCam brings notarization into the internet age. We have developed a remote electronic conferencing platform that allows for multiple parties to meet to review, sign, notarize, record and store transactions online--anytime and from anywhere in the World.  

The notary market in the US consists of 1 billion transactions annually, according to the National Notary Association, and is a $7B total addressable market.

We operate under two issued patents, #7127406 and #8204807. ",,,,,,,,,,,
agriculture and farming,Clube Orgânico,"Clube Orgânico is a platform connects customers directly to local farmers. It aims to build local communities to support and be supported by organic farmers.

Clube Orgânic was launched as a pilot project in September 2014 and was officially launched in April 2015.",,,,,,,,,,,
sports,AddGoals,"AddGoals brings together active people who want to take the most out of their lives. Goal achievers motivate each other by sharing their experiences and updates on goal achievements. Friends and a bit of social pressure will help to get the ideas into actions.

Customer problems
1. Ideas stay ideas. Wish without plan is not a goal.
2. Managing goals in Facebook or spreadsheet are not effective. Plans need to be organized and notified. Also notebooks aren't that good for long term plans.
3. Goals on paper/screen are alone. They need constant motivation for growing. These need to be connected with friends, lifestyle. Self-discipline and personal motivation is often not long lasting

Customer Benefits
1. Discover, what kind of goals to achieve. Also discover, what plan others have behind these goals.
2. Manage easily different types of goals: bucketlist, habit, group goal, challenge, etc.
3. Keep constantly motivated. Comment other goals, collect likes/comments yourself, do it together, challenge each other, share joy, ask advice etc.",,,,,,,,,,,
sports,BaziFIT,"BaziFIT is creating a virtual personal training platform designed to connect clients and fitness professionals like never before. We’ve developed a custom fitness device that integrates directly onto gym equipment. This makes traditional equipment smart and delivers cleaner, more accurate data. That data is sent to the BaziFIT App where a user’s workouts are scored, motions are tracked, and reps are counted. The BaziFIT sensor and device combine to give live feedback and coaching as users work out. Finally, each user is connected with a real life personal trainer who sends custom workouts and programs based on user metrics and fitness goals.",,,,,,,,,,,
sports,Clumeo,"Clumeo is a social platform to facilitate payments, enrollments and planning of activities for communities and users. Clumeo offer an extensive CMS solution for sport clubs and communities to seamlessly receive payments, plan activities and reach members. 

Private users will be able to explore the vast amount of unique activities to browse from, create activities with friends, and painlessly pay for any enrollments. 

Our platform can easily support other constellations like institutions, interest groups, associations and affiliations. Clumeo will bring people together and create sustainable communities. Clumeo is yours, mine and everybody’s clubhouse in the cloud.",,,,,,,,,,,
privacy and security,Lookout,"Lookout is a cybersecurity company that predicts and stops mobile attacks before harm is done to an individual or an enterprise. Lookout’s cloud-based technology is fueled by a global sensor network of more than 60 million users and tens of thousands of apps that are added daily. With this dataset of virtually all the mobile code in the world and the predictive machine intelligence to analyze and make sense of the data, Lookout can identify connections that would otherwise go unseen and stop cybercriminals from attacking mobile devices.

Headquartered in San Francisco, Lookout has offices in Boston, London, Singapore, Tokyo, Toronto and Washington, D.C.",,,,,,,,,,,
sports,MVP Draft LLC,MVP Draft is the first daily fantasy sports contest provider to offer in-game action whereby users are allowed to substitute players on their roster as real-world games take place.,,,,,,,,,,,
sports,Diviac,"Diviac is the world’s leading online travel agency for scuba divers.

A platform like no other, that inspires divers to dive more, travel more and take care of our oceans.
Researching and booking a scuba holiday has never been easier, nor more enjoyable.

Founded in December 2012 in Switzerland, Diviac is on a mission to energize and grow the overall scuba diving market for the benefit of all players. It already offers more dive destinations and more scuba holidays than any other travel company in the world.

Catering to groups and individual travelers alike, Diviac uniquely combines best in class online booking experience with truly personalized expert advice, delivered by its global team of scuba travel experts.

Diviac also cares deeply about sustainability and with the launch of Diviac Eco Travel, it now offers divers the opportunity to experience life-changing dive vacations that have an impact on the conservation of our oceans.",,,,,,,,,,,
sports,Zdorovio,"Zdorovio (Здоровио) helps people to improve their fitness results and lose weight. We help our users learn skills and habits to sustainably improve their health.
Zdorovio is a B2B2C vertical providing digital tools and e-commerce solutions for fitness and weight loss users, diet specialists and fitness instructors and health food/fitness brands in the CIS region.",,,,,,,,,,,
sports,SportsRecruits,"At SportsRecruits, we build sport-specific platforms to help high school student-athletes market themselves to college coaches. The tools we offer take an inherently disorganized, stressful and time-consuming process and streamline it, saving users time while greatly maximizing their efficiency.",,,,,,,,,,,
sports,TecSport Games,TecSport was founded in 2011 to provide an innovative approach to commercially effective social gaming. The company has developed a pioneering cloud based format that is pushing the boundaries of technology and the gaming experience.,,,,,,,,,,,
sports,Kura MD,"KURA MD is a Internet healthcare commerce platform that offers a unique physician marketing and telemedicine practice management formula to deliver more patients, more capacity to see those patients and increased encounter revenue.",,,,,,,,,,,
privacy and security,Cloud Security Corporation,"CLOUD SECURITY believes in giving everyone a peace of mind – SECURITY.  It is investing in advance prevention, detection and resolution technology to protect machines, businesses and individuals from advancement of Internet attack and theft ahead of others.",,,,,,,,,,,
sports,Cycliq,"Cycliq designs accessories for road cyclists, commuters and mountain bikers,  hoping to provide valuable and versatile products including the Fly6 rear tail-light and HD camera, and newly announced front-facing Fly12. 

The company's mission is to make cyclists more visible and motorists aware they’re being recorded, in the hope they'll be more courteous and lawful in sharing the road. Cycliq believes this can only be achieved with wide spread awareness, something the company is committed to making this a reality with it's innovative products.",,,,,,,,,,,
sports,fitmob,"ClassPass, founded in New York City in 2014, is a monthly fitness membership that connects members to thousands of fitness studios and gyms in 36 cities around the world. We believe that leading an active lifestyle strengthens both the mind and body - and that living that lifestyle should be easier. We want to help people find experiences that matter to them, that challenge them and that move them

As a series B startup with top-tier venture capital support, we've experienced tremendous growth over the past year, and we’re continuing to grow our team, expand our company and evolve our membership to enhance how our members live their every day.",,,,,,,,,,,
agriculture and farming,SabrTech,"At SabrTech, they are nature’s architect, designing the next generation of algae technology solutions for a variety of industries and applications using award-winning, sustainable processes. They partner with airlines to make flying green. They bring solutions to the oil industry. They work with NGOs on water recycling. Most of all, they partner with those interested in benefiting from algae’s unparalleled potential to build a better tomorrow.

Their technology solutions are suitable for partners interested in

algal derived energy – biofuels, biogas
algal derived additives – biodiluents, lubricants
algal derived feeds – livestock feed
water detoxification and bioremediation.",,,,,,,,,,,
sports,DRAFT,"DRAFT is a daily fantasy sports company (DFS). On DRAFT, players do simple drafts (unlike the salary cap format) just like the ones they do at the beginning of their season long leagues, but lasting one day or week, and taking only minutes to complete. DRAFT brings DFS back to what it should have been, a simple, fair and fun game, that was designed for this regulatory environment -- with player's chances of winning on DRAFT being almost 3X better than on FanDuel or DraftKings. DRAFT is backed by Upfront Ventures, The Chernin Group and more.",,,,,,,,,,,
privacy and security,Encap,"Encap AS, a technology company, provides solutions for online user security. The company provides mobile phone based products for user security services. It develops security services for the telecom, bank, and finance industries. 

Encap AS is based in Oslo, Norway.",,,,,,,,,,,
sports,Sports365.in,"www.Sports365.in, an online sports shop, is set to redefine the way you shop for sports equipment, accessories, apparel and fitness equipment online. Search, click and your favourite sports gear is delivered to your doorstep with exciting facilities like Free Shipping and Cash On Delivery, privileges which are only available when you shop from an online sports store. At Sports365, you can buy sports goods online, and choose from an enviable range of branded sports goods from Yonex, Puma, Reebok, Head to just about any leading international and national sports brands. So, buy sports goods online from Sports365, India’s leading online sports store, and we bet it will change the way you shop for your sports goods and fitness equipment.",,,,,,,,,,,
sports,Ludi,"Ludi helps hospitals and health systems manage complicated physician agreements, decreasing costs and improving compliance. DocTime LogTM delivers a sophisticated solution to both physicians and hospital executives in an easily deployed mobile device format long overdue. 

Hospitals and health systems need to coordinate business 
operations and compliance efforts in order to manage and 
capture data from contracted physicians.

Ludi’s DocTime LogTM helps hospitals and health systems 
automate, track and reduce administrative expenses while 
managing the legal risks of regulatory compliance with 
physician agreements.",,,,,,,,,,,
sports,PledgeSports,"PLEDGESPORTS is a revolutionary new crowdfunding platform for sports people, teams, clubs, and brands.
Money should never be the reason a talented athlete quits their dream"" But it so often is.",,,,,,,,,,,
privacy and security,ContaAzul,"ContaAzul is a Brazilian easy-to-use online platform for small businesses that helps to organize financial routines in one place by connecting the company to accountancy, banks, stock, electronic invoicing, and much more. ContaAzul is committed to the success of the small entrepreneurs so it guarantees the delivery of a rich and instructional material aiding in education.

ContaAzul was founded on 2012 and is headquartered in Joinville, Brazil.",,,,,,,,,,,
privacy and security,IUEditor,"IUEditor enables users to design professional websites without prior knowledge of hypertext markup language (HTML), cascading style sheets (CSS), and JavaScript.

IUEditor creates JavaScript object notation-based integrated unified markup language (IUML), which is able to translate HTML, CSS, and JQuery. Websites can be easily developed simply by selecting and dragging items and by inserting images, text, or links.

see www.iueditor.org",,,,,,,,,,,
sports,TIMPIK,"With Timpik you can play sports anytime, anywhere and with whoever you want.

Timpik is the social network for all athletes, both professional and amateur, that has revolutionized the way sports lovers communicate and organize games.

We are the meeting point for all athletes, facility managers, events, and sports brands. Everyone benefits through TImpik!

Our main objective: make organizing sporting events hassel-free. Our tools remove all barriers to enjoying your favorite hobby.",,,,,,,,,,,
privacy and security,Singularity Networks,"Business Aware Network Analytics, in Real-time.",,,,,,,,,,,
privacy and security,Yuristiya,Yuristiya (ЮристиЯ) is connecting anyone with a legal need to the best attorneys in the CIS region (ex-USSR) with 300 mln. Russian-speaking population.,,,,,,,,,,,
privacy and security,Mobile System 7,"Mobile System 7 is an enterprise security company led by former Intelligence Community professionals. Mobile System 7's product, Interlock, protects enterprise data from unauthorized access and malicious attacks. Most enterprise security solutions rely on securing the endpoint. In contrast, Interlock monitors and protects what's truly important to the enterprise - access to data and services. Interlock combines the power of analytics and real time access controls to protect enterprise data.",,,,,,,,,,,
privacy and security,infotope technologies GmbH,"infotope is a digital ecosystem for the connected home. It combines all kinds of data links (any wire, any fiber, any radio) with intelligent nodes and privacy measures into a secure home networking platform, offering a new dimension of features and services.",,,,,,,,,,,
sports,Ambient Fytns Technology,"Ambient Fytns Technology develops cognitive, intuitive and intelligent algorithms along with social and gamification technology for the health and fitness industry. Engagement, Retention and Results are the cornerstones of success in the fitness industry. AFT makes your fitness product or service more effective.

AFT develops advanced cognitive, intuitive, intelligent algorithms along with social and gamification technology for fitness equipment manufacturers, device companies and service providers.",,,,,,,,,,,
sports,Echo Labs,"EchoLabs offers wearable technology that facilitates the non-invasive monitoring and analysis of blood composition. It tracks key physiological indicators of energy, fitness, nutrition, hydration, and sleep, all without the need for traditional blood testing.

EchoLabs was founded by Elad Ferber and Pierre-Jean Cobut in 2013 and is based in Palo Alto, California.",,,,,,,,,,,
privacy and security,Guarnic,"Guarnic somos los desarrolladores de la aplicación móvil creada para empresas de seguridad. Esta aplicación permite tener un seguimiento detallado en tiempo real de los agentes de seguridad en terreno, acompañado de una serie de herramientas que permite tener un mayor control del personal y sus deberes. Los principales beneficios de incorporar Guarnic en la supervisión de su empresa son reportes de alto nivel de precisión, transparencia y eficiencia operacional.",,,,,,,,,,,
privacy and security,HAZ Digital Inc.,"HAZ Digital develop the first 3-in-1 smart home system -- Multi-functional sensors, Monitoring and Micro Location-based services.

Thanks for the indoor positioning technology. Our system is able to locate the position you are in at your home, and provide the automation service that you need. 

The system can meet all the needs for smart home. Automation, security, monitoring, surveillance.",,,,,,,,,,,
sports,Mountain Hub,"Mountain Hub is a personalized and socially connected information network for the outdoors that inspires people to discover, experience and share their adventures.  Mountain Hub brings together the most valuable and engaging tools, content, and connections with a multi-platform app for consumers and a highly targeted platform for brand partners.  Mountain Hub was founded by a passionate group of outdoor enthusiasts from MIT, who packed their bags and headed West to pursue their dream in 2015.

Mountain Hub received back to back Top 100 Innovations of the Year from Popular Science and was ranked the #1 Company to Work for in Utah and #22 in the US by Outside Magazine in 2016.  Mountain Hub headquarters is based in Park City, UT at the epicenter of the outdoor community in the United States.  At Mountain Hub, we value passion as much as teamwork and hard work.  We strive to provide exciting opportunities to be at the leading edge of innovation in our industry while also creating a flexible, dynamic and rewarding work environment.

Major investors include KarpReilly, Kickstart Seed Fund, Telluride Venture Fund, AC & Friends, and Grassy Creek.",,,,,,,,,,,
sports,Oxie,"Oxie is the first, smart, wearable air purifier. Sleek enough to fit under your shirt collar: Oxie purifies your air without masking your smile.

Whether you're on a plane, or in Beijing: Oxie effectively protects you from pollutants (including traffic smoke, allergens, germs, and more) without sacrificing style and comfort.

Oxie’s sensors deliver personal metrics to an interactive smartphone application: increasing awareness and crowdsourcing air quality demographics to provide the first real insight into environmental health.",,,,,,,,,,,
agriculture and farming,Rex Animal Health,"Rex is on a mission to bring animal health to the 21st century by making veterinary medicine and husbandry data driven.
They believe that data has the power to transform the animal health industry as it has transformed the fields of finance, weather, and human health. By bringing together data from various sources and time periods, the insights they produce can reshape: 1) the way pharmaceutical companies discovers new gene targets and develops drugs, 2) the way veterinarians manage chronic diseases in animals, and 3) the way the community understands and perceives animal health.

",,,,,,,,,,,
sports,SportsBoard,"SportsBoard is the first-of-its-kind athletic data solution that enables coaches to capture, manage and distribute assessment data across a multitude of coaching and scouting activities. SportsBoard replaces paper-based processes with an efficient, fully-customizable iPad/iPhone and cloud-based software solution, allowing coaches to evaluate athletes in a more efficient, digital manner than ever before. 

Scenarios:

- Coaches capture assessments for evaluations in a recruiting/scouting environment, on fields/courts/rinks/pools without the need for wifi or 3G/4G. 
- Camp operators easily assess and distribute video and PDF evaluations within minutes after camp ends. 
- Club and travel ball coaches focus on tryouts and player development. 
- Strength & conditioning coaches distribute individualized workouts to their athletes' iPhones and store workout data in the same player profile with all other coaching assessments. 

SportsBoard is used by over 400+ NCAA programs including iconic coaching staffs at UCLA, Stanford, UNC, Florida, Duke, Kentucky, Michigan, Cal, Georgetown, Harvard, Clemson, Maryland, Memphis and many more - including teams that have collectively won over 81 national championships across all sports. 

Other prominent customers include US Women's Soccer, the NBA, ASGR Basketball and National Scouting Report. 

Prestigious camp operators such as Stanford Baseball Camps, Top 96 Baseball, Okanagan Hockey Camps, Minnesota Hockey Camps, and Rocky Mountain Hockey Camps.  

Based in Sausalito, CA, SportsBoard is a registered trademark of West Shore Technologies.",,,,,,,,,,,
sports,SportsThread,"Sports Thread, a purpose-driven start-up based in Denver, Colorado, offers a social media-based, self-promotion, and educational platform for high school athletes in the United States.  Sports Thread helps all student-athletes to achieve their dreams of playing college sports, regardless of their individual skill level, socioeconomic status or geographic location.",,,,,,,,,,,
privacy and security,Syndis,Syndis is a leading information security company helping to defend organizations by providing bespoke services and innovative security solutions in the global market. Research is central to the Syndis vision and is considered core to the innovative approaches supplied to their clients. They develop their own technologies and methodologies to ensure the highest level of service for their clients who have the most demanding security needs.,,,,,,,,,,,
agriculture and farming,TruTag Technologies,"TruTag Technologies, Inc. provides product authentication and brand protection solutions for multiple industries. We use customized and proprietary nanotechnology solutions using spectrally coded silica microtags branded TruTag®.

The TruTag solution represents a breakthrough in the industry because these microtags are made of the highest purity silica, rendering them biologically inert, edible, and virtually invisible.",,,,,,,,,,,
sports,Wooter,"Wooter Apparel • Worldwide provider of custom uniforms and apparel.

Wooter App • The new way to run and play in sports leagues and teams.",,,,,,,,,,,
sports,X2 Biosystems,"Concussions degrade cognitive functions, impair motor functions, damage sensory functions, and have been linked to depression, anxiety, aggression, impulse control, personality changes, and death. The single season likelihood of suffering a concussion while playing contact sports is 19%. Over 3,800,000 sports-related concussions are diagnosed in the US each year;  30% remain undiagnosed. The medical costs of treating concussions and related conditions exceed US$80B/year. 

X2 Biosystems provides an end-to-end concussion management platform for use in sports, military and civilian applications that removes the risk of undiagnosed cases, decreases the likelihood of catastrophic second impact injuries, modifies behavior to help minimize concussion risk, and reduces medical costs",,,,,,,,,,,
sports,YaSports,YaSports es una plataforma de Video On Demand donde la pasión y el fan se encuentran para revivir lo mejor de la historia del deporte.,,,,,,,,,,,
sports,Boatrax,"Boatrax is a smart box installed on the boat and able to read and store all messages coming from the engine, devices and sensors connected to the boat’s network. We’ve been able to interface with older engines that transmit data using older communication standards.
The Boatrax Box has the perfect mechanism to read everything your boat does. In the inside lives a modern computer designed to read messages like oil pressure, fuel consumption, rpm, location and running hours and transmit data in real time so you have a better grasp of your boat’s history.
",,,,,,,,,,,
privacy and security,Pixalate,"Pixalate, Inc. is a leading global intelligence platform and real time fraud protection provider. Pixalate is a Media Rating Council certified vendor for display ad viewability. For more information, visit www.pixalate.com.",,,,,,,,,,,
sports,Rough Runner,"Rough Runner is a new breed of sports event.

It merges distance running (anything from 5km up to 15km) and obstacles that you’ll have to take on along the way.

But not just the regular, military-style obstacles you’ll see on every other event out there, that do nothing but freeze, burn, lacerate and electrocute you.

Instead, their obstacles are inspired by all those game shows they love – Takeshi’s Castle, Wipeout, Gladiator, Ninja Warrior and more.

So if you’ve ever thought that the Travelator looked like a challenge, a sweeper obstacle would be a great laugh, or you just fancy a go on their big balls, then Rough Runner is for you.",,,,,,,,,,,
sports,Vanhawks,"Vanhawks Valour is an urban commuter bicycle with ultimate combination of safety, connectivity, design, and simplicity.",,,,,,,,,,,
agriculture and farming,Netafim,"Netafim is the global leader in drip and micro-irrigation solutions for a sustainable future. At the intersection of water, food security and arable land, drip irrigation enables growers to maximize food production with the lowest environment impact — this is sustainable productivity. Since introducing the world's first drip irrigation system in 1966, they have led the way by developing reliable, simple and affordable products that help their customers achieve optimal and sustainable results.",,,,,,,,,,,
sports,RivalHealth,"RivalHealth is a fitness-based wellness platform that engages employees with daily exercise and nutrition activities and sustains engagement through social interaction, challenges, incentives and outcomes.",,,,,,,,,,,
sports,Sportintown,"As a marketplace for amateur sports events, Sportintown enables sportswomen and sportsmen to find the event that best suits their expectations, and provides the organizers with all the solutions to easily manage their online registrations.",,,,,,,,,,,
sports,FanCompass,"FanCompass's Social CRM Platform helps sports teams and collegiate athletic programs engage fans with interactive applications and funnels all of their relationships to a brand-cohesive platform for data collection and monetization.

Based in San Francisco, CA, FanCompass was formed when Patricia Roller, investor and innovator of top worldwide products and brands, teamed up with Jamie Pardi, entrepreneur and sports media expert, to form GAGA Sports & Entertainment. Together Patricia and Jamie sought out to bring web tools to the $100B+ sports and entertainment industry with attitude, monetization strategies, creativity and a deep understanding of the market.",,,,,,,,,,,
privacy and security,AttachingIT,"Businesses are moving to the cloud. The cloud offers services that will make their IT infrastructure cheaper and more scalable with less maintenance.  Although the cloud is very interesting for businesses, there are major security and privacy concerns. Due to fear or strict regulations, businesses struggle with secrecy, control and ownership of data in the cloud. For these reasons most businesses choose to go for private clouds and even legacy on premise solutions, making unnecessary costs and effort.  

Secrecy of data mainly depends on encryption and key management. Cloud providers provide encryption services but hold the keys to this encryption and are therefore a shared reader of the content. If data is encrypted before it is stored, most cloud providers nowadays have enough computation power to break ciphers that are considered safe.

Up until now there is no technology that will leverage the power of cloud scalability whilst maintaining full secrecy of data that is stored. One solution next to encryption that would increase secrecy is to chunk data and distribute it over multiple cloud containers or providers. Although you hold the keys, the increase of secrecy with this approach might still lead to partially readable data if the cipher is broken.",,,,,,,,,,,
sports,Jolt Athletics,"Jolt is on a mission to help athletes train smarter and safer through innovative technology solutions. They aim to provide highly-functional and intuitive products that provide athletes, parents, and coaches real-time feedback, and enable them to make smarter more timely decisions.",,,,,,,,,,,
sports,OnCore Golf Technology,OnCore Golf Technology, Inc. (“OnCore”) was formed to acquire, develop, and commercially exploit a patented new golf ball – the hollow metal core ball – which has the potential to be the most accurate and straightest golf ball ever developed.  There has not been a major advance in ball technology in the past twenty years and the market is ready for something different and better.  The management team at OnCore believes that the combination of real performance advantages with an entirely new approach to ball construction will excite both new and seasoned golfers and that capturing 10% of the ball market within the next three to five years is possible.,,,,,,,,
privacy and security,Toopher,"Toopher saves consumers and businesses billions of dollars by preventing online fraud and identity theft before it ever happens.

Toopher virtually eliminates online fraud and identity theft by providing automated two-factor authentication. Toopher offers better security without any of the hassle entrenched in existing two-factor solutions. We use the location awareness of your smartphone to add another layer of security to passwords—all without leaving your pocket. Toopher is the rare security tool that users actually want to use; it’s the future of mobile and security… today.

Upping the ante, Toopher breaks the security mold by going beyond simply authenticating only logins, but adds authentication to every critical action; it’s just as important (if not more) to confirm identity when users transfer funds or make purchases as it is when they log in.",,,,,,,,,,,
privacy and security,COPsync,"COPsync operates the nation’s largest law enforcement real-time, information sharing, communication and data interoperability network. COPsync’s mobile application enables officers to instantly access local, state, and federal law enforcement databases, efficiently gather information at the point of incident, and immediately share critical data with all officers on the COPsync network.",,,,,,,,,,,
privacy and security,Elastica,"Elastica is the leader in Data Science Powered™ Cloud Application Security. Elastica CloudSOC™ platform empowers the companies to confidently leverage Cloud and SaaS applications while staying safe, secure and compliant. 

Following Elastica Apps on the extensible CloudSOC™ platform enable full life cycle of visibility & security for the Cloud and SaaS applications being used in your company:

Elastica Audit App Uncovers Shadow IT and highlights risk in cloud apps used by employees.  
Elastica Detect App uses machine learning to detect intrusions and threats in cloud apps.  Elastica Protect App provides defense against intrusions and compliance violations in cloud apps.  Elastica Investigate App enables post incident investigations on historic account activity on cloud apps 

For more info: http://www.elastica.net",,,,,,,,,,,
sports,Orobind Fitness Technologies Pvt. Ltd.,"Orobind is making it extremely easy for people to be healthy. By connecting people to trusted personal coaches through our apps, we make it possible for people to achieve their health goals and create healthier communities.",,,,,,,,,,,
sports,Spring Moves,"Spring Moves’ mission is to make working out as interesting, enjoyable, and addictive as humanly possible. We harness the power of music and rhythm to turn casual runners into athletes and newbies into pros. To some, Spring is the sole tool that can make exercise bearable. To others, it’s the secret weapon behind a qualifying time for the Boston Marathon.",,,,,,,,,,,
sports,Kinetek Sports,"Kinetek Sports is a sports technology company based in San Diego, California. The company developed ClubHub, a swing analysis and shot tracking device that can be attached to the handle or butt end of a golf club.",,,,,,,,,,,
sports,Sportody,"Sportody™ is an outdoor sports network for web and mobile, providing independent reviews and the ability for adventurers to book a sporting odyssey.

With over 80,000 sporting providers listed across the world, Sportody helps adventurers research, review, share, and book adventures across 120 outdoor sport types in 100 countries. Sportody's mission is to help the world enjoy more outdoor sports.",,,,,,,,,,,
sports,Tixers,"Tixers is changing the way tickets are exchanged. With Tixers, you can exchange tickets you're unable to use now for tickets you can use in the future. Ticket holders receive instant credit for their tickets and can use those credits for other sporting events or concerts. Those who do not have credits on the site can name the game they want to go to and purchase tickets as well. Millions of tickets go unused each year and Tixers is trying to eliminate this problem. Tixers is different than competitors like Stubhub because Tixers guarantees some value immediately and is aiming to create a network that allows ticket holders, primarily season ticket holders, to share"" tickets among one another. Tixers primary customer are corporations and small businesses that purchase season tickets that they often let go unused. Revenue is generated through processing fees when sellers redeem tickets (similar to frequent flyer mile redemption fees) and on a spread based upon demand.""",,,,,,,,,,,
agriculture and farming,"Barn2Door, Inc.","Barn2Door helps farmers save time and grow sales by managing inventory online and automating orders across web, social, mobile and email. We believe it should be as easy to order food from local farmers as it is to use Uber.

Over 92% of buyers prefer to purchase online for inventory visibility and order accuracy. Barn2Door offers farms a real-time digital fresh sheet across all channels to connect with buyers, streamline ordering, and generate more sales.",,,,,,,,,,,
privacy and security,i7 Networks,"100% Agentless & non-intrusive way, we provide security to BYOD-enabled Enterprises by detecting & fingerprinting all personal devices, complete security scan & analysis of the devices, protecting Corporate Network from BYOD specific infections and intrusions and doing a thorough granular access control using device attributes as well as Apps.

Detailed Value proposition:

100% Agentless-way (ZERO-Touch) of detecting all personal devices, secure quadrupled fingerprinting (US patent-pending), DPI & thorough security scan & analysis (Vulnerability check, associated risks, thorough BYOD specific intrusion alerts, Device compromise check (jailbroken, rooted), BYOD specific network behavioral analysis to see patterns, anomalies & zero-day attacks.), posture check (anti-malware software is installed on the device? latest signatures?) and then deny infected personal device connecting to the network as well as do a thorough granular access based on device attributes as well as apps. We do it irrespective of how you get onto the network - from Corporate Wi-Fi or VPN. We also detect enterprise-worry apps (such as dropbox, box.net, Facebook etc.) on the wire and we can even stop them. We also provide granular access control based on any of the attributes of the devices that we discover (such as macid, ip address, OS, OS version, SSID, office location, time, form factors, device class & type & manufacturer etc.) – all done at real-time!

We protect BYOD-enabled Enterprise from the BYOD specific threats. We have developed lot of technologies which are mobile specific and are innovations by itself be it Agentless discovery & fingerprinting"" of all personal devices or the",,,,,,,,,,,
sports,Golfmiles Inc.,"Our mission in developing Golfmiles.com is to make it easier to search, compare and buy a round of golf PLUS reward golfers for playing the game we all love to play.

 Maximize points & miles earnings every time you play golf. Buy tee times from over 6,000 golf courses in the US on Golfmiles.com and choose to earn loyalty currencies you already value, in programs you already understand.",,,,,,,,,,,
sports,Rolltech,"Headquartered in Downtown Las Vegas, Rolltech is a global competition platform that allows bowlers to track their scores and stats in real-time and foster connection with bowlers around the world. With active users in more than 3,800 bowling centers and 45 countries, Rolltech's mission is to change the way the world plays, watches, and interacts with the sport of bowling. An exclusive technology partner of the PBA, Rolltech is currently auto-enabled in centers throughout the US. Rolltech auto-enabled centers have access to a powerful analytics platform and real-time communication tools for their bowlers, facilitating a lasting connection between bowler and center. Visit rolltechbowling.com for more information.",,,,,,,,,,,
sports,Aurora Spine,"Aurora is an early stage start-up company focused on bringing advanced solutions to the spinal implant market through a series of innovative, minimally invasive, regenerative spinal implant technologies. The Company was founded on the philosophy of producing and selling what it believes will be elegant, intuitive, high quality spinal products with an emphasis on simplicity of design and ease of implantation",,,,,,,,,,,
